"Fehlercode";"Fehlerkategorie";"Fehlertext"
"ABI_10";"BELEGUNG";"Unter den vier Abiturfächern müssen zwei der Fächer Deutsch, Mathematik oder Fremdsprache sein."
"ABI_11";"BELEGUNG";"Religionslehre und Sport dürfen nicht gleichzeitig Abiturfächer sein."
"ABI_12";"SCHRIFTLICHKEIT";"In Q2.2 muss das 3. Abiturfach schriftlich belegt sein."
"ABI_13";"SCHRIFTLICHKEIT";"In Q2.2 muss das 4. Abiturfach mündlich belegt sein."
"ABI_15";"BELEGUNG";"Sport kann nur als 2. oder als 4. Abiturfach gewählt werden."
"ABI_16";"SCHRIFTLICHKEIT";"Fächer, die keine Abiturfächer sind, müssen in Q2.2 mündlich belegt werden."
"ABI_17";"SCHRIFTLICHKEIT";"Das 3. Abiturfach muss von Q1.1 bis Q2.2 schriftlich belegt sein."
"ABI_18";"SCHRIFTLICHKEIT";"Das 4. Abiturfach muss von Q1.1 bis Q2.1 schriftlich belegt sein."
"ANZ_10";"BELEGUNG";"In der Einführungsphase müssen in jedem Halbjahr mindestens 10 Fächer belegt werden. Vertiefungskurse werden bei der Zählung nicht berücksichtigt.<br>In EF.1 müssen mindestens 10 Kurse belegt werden. Bei der Kurszählung werden Vertiefungskurse nicht mitgezählt."
"ANZ_11_INFO";"HINWEIS";"Die Stundenbandbreite sollte pro Halbjahr 32 bis 36 Stunden betragen, um eine gleichmäßige Stundenbelastung zu gewährleisten.<br>Die Gesamtstundenzahl sollte 32 bis 36 Stunden betragen, um eine gleichmäßige Stundenbelastung in der Oberstufe zu gewährleisten."
"ANZ_12";"BELEGUNG";"In der Qualifikationsphase müssen mindestens 38 anrechenbare Kurse belegt werden."
"ANZ_13";"BELEGUNG";"In der Qualifikationsphase müssen mindestens 32 anrechenbare Kurse belegt werden."
"BIL_4_INFO";"HINWEIS";"Programmfehler: Dieser Hinweis ist für eine Gesamtbelegprüfung der Sek II nicht vorgesehen!<br>Soll ein bilinguales Sachfach zum Sprachenschwerpunkt beitragen, so muss es schriftlich belegt werden."
"BIL_10";"BELEGUNG";"Im bilingualen Bildungsgang muss die bilinguale Fremdsprache in EF.1 und EF.2 schriftlich und in Q1.1 bis Q2.2 als Leistungskurs belegt werden.<br>Im bilingualen Bildungsgang muss die bilinguale Fremdsprache schriftlich belegt werden."
"BIL_11_INFO";"HINWEIS";"Im bilingualen Bildungsgang werden in EF.1 und EF.2 in der Regel zwei bilinguale Sachfächer belegt.<br>Im bilingualen Bildungsgang sollten zwei bilinguale Sachfächer belegt werden."
"BIL_12";"SCHRIFTLICHKEIT";"Im bilingualen Bildungsgang muss ein bilinguales Sachfach durchgehend von Q1.1 bis Q2.1 schriftlich belegt werden."
"BIL_13";"BELEGUNG";"Ein bilinguales Sachfach muss unter den Abiturfächern sein."
"BIL_14";"BELEGUNG";"Es können nur bilinguale Sachfächer belegt werden, deren Sprache in der Sekundarstufe erlernt wurde.<br>Es können nur bilinguale Sachfächer belegt werden, deren Sprache in der Sekundarstufe erlernt wurde."
"BIL_15";"BELEGUNG";"Im bilingualen Bildungsgang muss in EF.1 und EF.2 mindestens ein bilinguales Sachfach belegt werden.<br>Im bilingualen Bildungsgang muss mindestens ein bilinguales Sachfach belegt werden."
"D_10";"BELEGUNG";"Deutsch muss von EF.1 bis Q2.2 belegt werden.<br>Deutsch muss in EF.1 schriftlich belegt werden."
"D_11";"SCHRIFTLICHKEIT";"Deutsch muss von EF.1 bis wenigstens Q2.1 schriftlich belegt werden.<br>Deutsch muss in EF.1 schriftlich belegt werden."
"E1BEL_10";"BELEGUNG";"Bis auf Literatur, vokal- und instrumentalpraktische Kurse, Zusatzkurse, Vertiefungsfächer und Projektkurse können keine Fächer hinzugewählt werden, die nicht schon ab EF.1 belegt wurden."
"FS_10";"BELEGUNG";"Mindestens eine Fremdsprache muss von EF.1 bis Q2.2 durchgehend belegt werden. Handelt es sich hierbei um eine neu einsetzende Fremdsprache, so muss zusätzlich mindestens eine aus der SI fortgeführte Fremdsprache von EF.1 bis EF.2 belegt werden.<br>Da die gewählte Fremdsprache in der Oberstufe nicht durchgehend angeboten wird, muss entweder zusätzliche eine neu einsetzende Fremdsprache, oder eine andere in der Sekundarstufe I begonnene Fremdsprache belegt werden."
"FS_11";"SCHRIFTLICHKEIT";"Mindestens eine durchgehend belegte Fremdsprache muss von EF.1 bis Q2.1 schriftlich belegt sein.<br>Mindestens eine Fremdsprache muss in EF.1 schriftlich belegt werden. Die zu wählende Fremdsprache muss durchgehend angeboten werden."
"FS_12";"SCHRIFTLICHKEIT";"In EF.1 und EF.2 müssen alle gewählten Fremdsprachenfächer schriftlich belegt werden.<br>In EF.1 müssen alle belegten Fremdsprachen schriftlich belegt werden."
"FS_13";"BELEGUNG";"Bei unvollendeter 2. Fremdsprache, muss die in der Sekundarstufe 1 begonnene 2. Fremdsprache in EF schriftlich oder eine neu einsetzende Fremdsprache durchgehend schriftlich belegt werden.<br>Wurde die 2. Fremdsprache erst ab Klasse 8 erlernt, muss die in der Sekundarstufe 1 begonnene 2. Fremdsprache oder eine neu einsetzende Fremdsprache schriftlich in EF.1 belegt werden."
"FS_14";"BELEGUNG";"Bei fehlender 2. Fremdsprache muss eine neu einsetzende Fremdsprache durchgehend schriftlich belegt werden.<br>Wurde bisher keine 2. Fremdsprache erlernt, muss eine neu einsetzende Fremdsprache in EF.1 schriftlich belegt werden."
"FS_15";"SCHRIFTLICHKEIT";"Kurse in neu einsetzenden Fremdsprachen müssen schriftlich belegt werden."
"FS_16";"SCHRIFTLICHKEIT";"Mindestens eine fortgeführte Fremdsprache muss in EF.1 und EF.2 schriftlich belegt werden.<br>Mindestens eine in der Sekundarstufe I begonnene Fremdsprache muss in EF.1 schriftlich belegt werden."
"FS_17";"SCHRIFTLICHKEIT";"Neu einsetzende Fremdsprachen dürfen nicht als Leistungskurs belegt werden."
"FS_18";"BELEGUNG";"Mindestens eine Fremdsprache muss von EF.1 bis Q2.2 belegt werden.<br>Mindestens eine in der Sekundarstufe I begonnene Fremdsprache muss in EF.1 schriftlich belegt werden."
"FS_19_INFO";"HINWEIS";"Eine erfolgreiche Feststellungsprüfung in der Muttersprache am Ende der Sekundarstufe I und am Ende von EF.2 ist notwendig, um die Fremdsprachenbedingungen zu erfüllen.<br>Eine erfolgreiche Feststellungsprüfung in der Muttersprache am Ende der Sekundarstufe I und am Ende von EF.2 ist notwendig, um die Fremdsprachenbedingungen zu erfüllen."
"FS_20";"BELEGUNG";"Eine neu einsetzende Fremdsprache kann nur gewählt werden, wenn diese nicht zuvor in der Sekundarstaufe I belegt wurde. Die Sprachenfolge ist fehlerhaft."
"FS_21";"BELEGUNG";"Eine fortgeführte Fremdsprache wurde in der Sprachenfolge als neu einsetzend eingetragen. Die Sprachenfolge ist fehlerhaft."
"FS_22_INFO";"HINWEIS";"Englisch wurde nicht in der Sprachenfolge eingetragen. Bitte Prüfen Sie die Sprachenfolge auf Korrektheit."
"GE_1_INFO";"HINWEIS";"Programmfehler: Dieser Hinweis ist für eine Gesamtbelegprüfung der Sek II nicht vorgesehen!<br>Wird Geschichte nicht in EF.1 belegt, so muss Geschichte in der Qualifikationsphase als Zusatzkurs gewählt werden."
"GE_10";"BELEGUNG";"Geschichte muss von EF.1 bis wenigstens Q1.2 oder als Zusatzkurs (in der Regel von Q2.1 bis Q2.2) belegt werden."
"GKS_10";"BELEGUNG";"In der Qualifikationsphase sind pro Halbjahr mindestens 7 Fächer in Grundkursen zu wählen."
"GKS_11";"BELEGUNG";"In der Qualifikationsphase sind pro Halbjahr mindestens 6 Fächer in Grundkursen zu wählen."
"GW_10";"BELEGUNG";"Mindestens eine Gesellschaftswissenschaft muss von Q1.1 bis Q2.2 durchgehend belegt werden.<br>Mindestens eine Gesellschaftswissenschaft muss in EF.1 belegt werden und durchgängig belegbar sein."
"GW_11";"SCHRIFTLICHKEIT";"In EF.1 und EF.2 muss mindestens eine Gesellschaftswissenschaft schriftlich belegt sein.<br>Mindestens eine Gesellschaftswissenschaft muss in EF.1 schriftlich belegt werden."
"GW_12";"SCHRIFTLICHKEIT";"Mindestens eine Gesellschaftswissenschaft oder Religionslehre muss von Q1.1 bis wenigstens Q2.1 schriftlich belegt werden."
"IGF_10";"BELEGUNG";"Inhaltsgleiche Fächer und Projektkurse dürfen in jedem Halbjahr nur einmal belegt werden.<br>Inhaltsgleiche Fächer dürfen nur einmal belegt werden."
"KU_MU_10";"BELEGUNG";"Mindestens eines der Fächer Kunst oder Musik muss von EF.1 bis wenigstens Q1.2 durchgehend belegt werden. In der Qualifikationsphase kann auch alternativ Literatur, ein vokalpraktisches oder ein instrumentalpraktisches Fach mit zwei Kursen belegt werden.<br>Mindestens eines der Fächer Kunst oder Musik muss in EF.1 belegt werden"
"L_10_INFO";"HINWEIS";"Um das Latinum zu erlangen muss Latein in EF.1 und EF.2 belegt werden.<br>Um das Latinum zu erlangen muss Latein in EF.1 schriftlich fortgeführt werden."
"L_11_INFO";"HINWEIS";"Um das Latinum zu erlangen muss Latein mindestens bis Q1.2, je nach Stundenvolumen sogar bis Q2.2 belegt werden."
"L_12_INFO";"HINWEIS";"Um das Latinum zu erlangen muss Latein mindestens bis EF.2, je nach Beginn und Stundenvolumen sogar bis Q2.2 belegt werden."
"LI_IV_10";"BELEGUNG";"Die Fächer Literatur, instrumentalpraktischer bzw. vokalpraktischer Grundkurs dürfen maximal in zwei aufeinanderfolgenden Halbjahren belegt werden."
"LI_IV_11";"BELEGUNG";"Es darf nur eins der Fächer Literatur, IP oder VP belegt werden. (Schulen mit genehmigtem musisch-künstlerischem Schwerpunkt müssen betroffene Schüler in SchILD-NRW manuell zulassen)."
"LK_10";"BELEGUNG";"In der Qualifikationsphase müssen zwei Fächer durchgehend in Leistungskursen belegt werden."
"LK_11";"BELEGUNG";"Es dürfen nicht mehr als zwei Fächer als Leistungskurse belegt werden."
"LK1_10";"BELEGUNG";"Erstes Abiturfach nicht eindeutig identifizierbar."
"LK1_11";"BELEGUNG";"Das erste Leistungskursfach muss eine fortgeführte Fremdsprache, Mathematik, eine klassische Naturwissenschaft oder Deutsch sein."
"LK1_12";"BELEGUNG";"Ist Deutsch erstes Leistungskursfach, muss Mathematik oder eine Fremdsprache unter den vier Abiturfächern sein."
"LK1_13";"BELEGUNG";"Die Abiturfächer müssen alle drei Aufgabenfelder abdecken. Insgesamt sind vier Abiturfächer zu belegen."
"M_10";"BELEGUNG";"Mathematik muss von EF.1 bis Q2.2 belegt werden.<br>Mathematik muss in EF.1 schriftlich belegt werden."
"M_11";"SCHRIFTLICHKEIT";"Mathematik muss von EF.1 bis wenigstens Q2.1 schriftlich belegt werden.<br>Mathematik muss in EF.1 schriftlich belegt werden."
"NW_10";"BELEGUNG";"Mindestens eine klassische Naturwissenschaft (Physik, Biologie, Chemie) muss durchgehend von Q1.1 bis Q2.2 belegt werden.<br>Mindestens eines der Fächer Physik, Chemie oder Biologie muss in EF.1 belegt werden und durchgängig belegbar sein."
"NW_11";"SCHRIFTLICHKEIT";"In EF.1 und EF.2 muss mindestens eine klassische Naturwissenschaft schriftlich belegt sein.<br>Mindestens eines der Fächer Physik, Chemie oder Biologie muss in EF.1 schriftlich belegt werden."
"NW_FS_10";"BELEGUNG";"Von EF.1 bis Q2.2 müssen entweder zwei Naturwissenschaften oder zwei Fremdsprachen durchgehend gewählt werden. Hierbei ist eine Naturwissenschaft oder sind zwei Fremdsprachen schriftlich zu belegen. Zu den Fremdsprachen zählen auch in einer weiteren Fremdsprache unterrichtete Sachfächer.<br>In EF.1 müssen entweder zwei Naturwissenschaften oder zwei Fremdsprachen belegt werden. Hierbei ist eine Naturwissenschaft oder sind zwei Fremdsprachen schriftlich zu belegen. Zu den Fremdsprachen zählen auch in einer weiteren Fremdsprache unterrichtete Sachfächer."
"NW_FS_11";"SCHRIFTLICHKEIT";"Zwei Fremdsprachen oder eines von mindestens zwei naturwissenschaftlichen Fächern muss von Q1.1 bis wenigstens Q2.1 schriftlich belegt werden."
"NW_FS_12_INFO";"HINWEIS";"Da von EF.1 bis Q2.2 weniger als zwei naturwissenschaftliche Fächer durchgehend belegt wurden, oder kein naturwissenschaftliches Fach schriftlich belegt wurde, liegt ausschließlich ein Sprachenschwerpunkt vor.<br>Da in EF.1 weniger als zwei Naturwissenschaften belegt, oder keine schriftlich belegt wurden, müssen zwei Fremdsprachen bis Q2.2 durchgehend schriftlich belegt werden."
"NW_FS_13_INFO";"HINWEIS";"Da von EF.1 bis Q2.2 weniger als zwei Fremdsprachen schriftlich belegt wurden, liegt ausschließlich ein naturwissenschaftlicher Schwerpunkt vor.<br>Da in EF.1 weniger als zwei Fremdsprachen schriftlich belegt wurden, müssen zwei Naturwissenschaften bis Q2.2 belegt, davon mindestens eine schriftlich belegt werden."
"PF_10";"BELEGUNG";"In der Einführungsphase können keine Projektkurse belegt werden.<br>In EF.1 können keine Projektkurse belegt werden."
"PF_11";"BELEGUNG";"In der Qualifikationsphase kann maximal ein Projektkurs belegt werden."
"PF_12";"BELEGUNG";"Projektkurse können nur dann belegt werden, wenn gleichzeitig oder maximal zwei Halbjahre vorher auch das Leitfach im gleichem Umfang belegt wurde."
"PF_13";"BELEGUNG";"Ein Projektkurs kann nur belegt werden, wenn in der Qualifikationsphase zeitgleich oder vorab auch sein Leitfach zwei Halbjahre lang belegt wurde."
"PF_14";"BELEGUNG";"In der Qualifikationsphase kann maximal ein Projektkurs in zwei aufeinanderfolgenden Halbjahren belegt werden."
"PF_15";"BELEGUNG";"Es existiert kein Projektkurs, der als besondere Lernleistung eingebracht werden kann."
"PF_16_INFO";"HINWEIS";"Wird der Projektkurs als besondere Lernleistung in das Abitur eingebracht, so zählt er nicht mehr zu den einbringungsfähigen Kursen in Block I."
"PF_17_INFO";"HINWEIS";"Ein Projektkurs soll nur im Ausnahmefall abgewählt werden. Bei einem abgewählten Projektkurs werden lediglich die Wochenstunden auf die Laufbahn angerechnet."
"RE_10";"BELEGUNG";"Religionslehre muss wenigstens von EF.1-Q1.2 durchgehend belegt werden. Als Ersatz kann Philosophie dienen, sofern Philosophie nicht die einzige von EF.1 bis Q2.2 durchgehend belegte Gesellschaftswissenschaft ist. In diesen Fällen muss ein weiteres Fach der Gesellschaftswissenschaften als Religionsersatz dienen.<br>Ein Religionskurs muss in EF.1 belegt werden. Als Ersatz kann Philosophie belegt werden, sofern eine weitere Gesellschaftswissenschaft bis zum Abitur belegt wird."
"RE_11";"BELEGUNG";"Philosophie darf nicht die einzige durchgehend von Q1.1 bis Q2.2 belegte Geisteswissenschaft sein."
"SP_10";"BELEGUNG";"Sport muss von EF.1 bis Q2.2 belegt werden.<br>Sport muss in EF.1 belegt werden."
"STD_10";"BELEGUNG";"Der Pflichtunterricht darf 102 Stunden nicht unterschreiten."
"STD_11_INFO";"HINWEIS";"Der Pflichtunterricht darf nur in begründeten Ausnahmefällen 102 Stunden unterschreiten."
"SW_1_INFO";"HINWEIS";"Programmfehler: Dieser Hinweis ist für eine Gesamtbelegprüfung der Sek II nicht vorgesehen!<br>Wird Sozialwissenschaften nicht in EF.1 belegt, so muss Sozialwissenschaften in der Qualifikationsphase als Zusatzkurs gewählt werden."
"SW_10";"BELEGUNG";"Sozialwissenschaften muss von EF.1 bis wenigstens Q1.2 oder als Zusatzkurs (in der Regel von Q2.1 bis Q2.2) belegt werden."
"VF_10";"BELEGUNG";"In der Einführungsphase können maximal vier Vertiefungskurse belegt werden."
"VF_11";"BELEGUNG";"In der Qualifikationsphase können maximal zwei Vertiefungskurse belegt werden."
"WST_10";"BELEGUNG";"Die Summe der durchschnittlichen Jahreskursstunden von EF.1 bis Q2.2 darf 100 nicht unterschreiten."
"WST_20";"BELEGUNG";"Die durchschnittliche Wochenstundenzahl muss in der Einführungsphase mindestens 34 Stunden betragen."
"WST_21";"BELEGUNG";"Die durchschnittliche Wochenstundenzahl muss in der Qualifikationsphase mindestens 34 Stunden betragen."
"ZK_10";"BELEGUNG";"Ein Zusatzkurs in Geschichte oder Sozialwissenschaften kann nur angewählt werden, wenn das Fach im vorangegangenen Halbjahr nicht belegt wurde."
"ZK_11";"BELEGUNG";"Ein Zusatzkurs in Geschichte oder Sozialwissenschaften muss in zwei aufeinanderfolgenden Halbjahren belegt werden."
"ZK_12";"BELEGUNG";"Zusatzkurse dürfen maximal in zwei aufeinanderfolgenden Halbjahren belegt werden."
"ZK_13";"BELEGUNG";"Zusatzkurse dürfen nur einmal pro Fach belegt werden und können nicht in einem bilingualen Fach gewählt werden."